image_path,classes
data\dataset_2_split\train\images\21-520-ls-14-g02_28500_29640.jpg,
data\dataset_2_split\train\images\21-520-ls-14-g02_3420_4560.jpg,7
data\dataset_2_split\train\images\21-520-ls-14-g02_5700_6840.jpg,1
data\dataset_2_split\train\images\21-520-ls-14-g02_9120_10260.jpg,6
data\dataset_2_split\train\images\21-530-ls-14-g02_1140_2280.jpg,
data\dataset_2_split\train\images\21-530-ls-14-g02_18240_19380.jpg,6
data\dataset_2_split\train\images\21-530-ls-14-g02_19380_20520.jpg,7
data\dataset_2_split\train\images\21-530-ls-14-g02_2280_3420.jpg,6
data\dataset_2_split\train\images\21-530-ls-14-g02_23940_25080.jpg,
data\dataset_2_split\train\images\21-530-ls-14-g02_26220_27360.jpg,6
data\dataset_2_split\train\images\21-530-ls-14-g02_27360_28500.jpg,7
data\dataset_2_split\train\images\21-530-ls-14-g02_28500_29640.jpg,
data\dataset_2_split\train\images\21-530-ls-14-g02_3420_4560.jpg,7
data\dataset_2_split\train\images\21-530-ls-14-g02_4560_5700.jpg,
data\dataset_2_split\train\images\21-530-ls-14-g02_9120_10260.jpg,6
data\dataset_2_split\train\images\21-540-ls-14-g02_0_1140.jpg,
data\dataset_2_split\train\images\21-540-ls-14-g02_11400_12540.jpg,
data\dataset_2_split\train\images\21-540-ls-14-g02_1140_2280.jpg,
data\dataset_2_split\train\images\21-540-ls-14-g02_17100_18240.jpg,
data\dataset_2_split\train\images\21-540-ls-14-g02_23940_25080.jpg,
data\dataset_2_split\train\images\21-540-ls-14-g02_26220_27360.jpg,6
data\dataset_2_split\train\images\21-540-ls-14-g02_5700_6840.jpg,
data\dataset_2_split\train\images\21-540-ls-14-g02_6840_7980.jpg,
data\dataset_2_split\train\images\21-550-ls-14-d03_10260_11400.jpg,
data\dataset_2_split\train\images\21-550-ls-14-d03_11400_12540.jpg,
data\dataset_2_split\train\images\21-550-ls-14-d03_1140_2280.jpg,6
data\dataset_2_split\train\images\21-550-ls-14-d03_15960_17100.jpg,0
data\dataset_2_split\train\images\21-550-ls-14-d03_17100_18240.jpg,6
data\dataset_2_split\train\images\21-550-ls-14-d03_18240_19380.jpg,7
data\dataset_2_split\train\images\21-550-ls-14-d03_23940_25080.jpg,
data\dataset_2_split\train\images\21-550-ls-14-d03_27360_28500.jpg,7
data\dataset_2_split\train\images\21-550-ls-14-d03_28500_29640.jpg,
data\dataset_2_split\train\images\21-550-ls-14-d03_29640_30780.jpg,
data\dataset_2_split\train\images\21-550-ls-14-d03_30780_31920.jpg,
data\dataset_2_split\train\images\21-550-ls-14-d03_3420_4560.jpg,
data\dataset_2_split\train\images\21-550-ls-14-d03_4560_5700.jpg,
data\dataset_2_split\train\images\21-550-ls-14-d03_6840_7980.jpg,0
data\dataset_2_split\train\images\21-550-ls-14-d03_9120_10260.jpg,6
data\dataset_2_split\train\images\21-560-ls-14-d03_0_1140.jpg,
data\dataset_2_split\train\images\21-560-ls-14-d03_18240_19380.jpg,"0,6"
data\dataset_2_split\train\images\21-560-ls-14-d03_23940_25080.jpg,
data\dataset_2_split\train\images\21-560-ls-14-d03_26220_27360.jpg,6
data\dataset_2_split\train\images\21-560-ls-14-d03_28500_29640.jpg,11
data\dataset_2_split\train\images\21-560-ls-14-d03_30780_31920.jpg,
data\dataset_2_split\train\images\21-570-ls-14-d03_15960_17100.jpg,1
data\dataset_2_split\train\images\21-570-ls-14-d03_2280_3420.jpg,
data\dataset_2_split\train\images\21-570-ls-14-d03_25080_26220.jpg,
data\dataset_2_split\train\images\21-570-ls-14-d03_27360_28500.jpg,7
data\dataset_2_split\train\images\21-570-ls-14-d03_29640_30780.jpg,
data\dataset_2_split\train\images\21-570-ls-14-d03_30780_31920.jpg,
data\dataset_2_split\train\images\21-570-ls-14-d03_3420_4560.jpg,7
data\dataset_2_split\train\images\21-570-ls-14-d03_9120_10260.jpg,6
data\dataset_2_split\train\images\210-b1-14-d01_0_1140.jpg,
data\dataset_2_split\train\images\210-b1-14-d01_10260_11400.jpg,7
data\dataset_2_split\train\images\210-b1-14-d01_15960_17100.jpg,
data\dataset_2_split\train\images\210-b1-14-d01_19380_20520.jpg,7
data\dataset_2_split\train\images\210-b1-14-d01_21660_22800.jpg,0
data\dataset_2_split\train\images\210-b1-14-d01_26220_27360.jpg,"0,6"
data\dataset_2_split\train\images\210-b1-14-d01_27360_28500.jpg,7
data\dataset_2_split\train\images\210-b1-14-d01_28500_29640.jpg,
data\dataset_2_split\train\images\210-b1-14-d01_29640_30780.jpg,
data\dataset_2_split\train\images\210-b1-14-d01_30780_31920.jpg,
data\dataset_2_split\train\images\210-b1-14-d01_4560_5700.jpg,
data\dataset_2_split\train\images\210-b1-14-d01_6840_7980.jpg,
data\dataset_2_split\train\images\210-b1-14-d01_9120_10260.jpg,0
data\dataset_2_split\train\images\2100-b1-14-d01_0_1140.jpg,
data\dataset_2_split\train\images\2100-b1-14-d01_10260_11400.jpg,1
data\dataset_2_split\train\images\2100-b1-14-d01_13680_14820.jpg,
data\dataset_2_split\train\images\2100-b1-14-d01_17100_18240.jpg,6
data\dataset_2_split\train\images\2100-b1-14-d01_21660_22800.jpg,2
data\dataset_2_split\train\images\2100-b1-14-d01_22800_23940.jpg,"0,1"
data\dataset_2_split\train\images\2100-b1-14-d01_26220_27360.jpg,0
data\dataset_2_split\train\images\2100-b1-14-d01_29640_30780.jpg,1
data\dataset_2_split\train\images\2100-b1-14-d01_3420_4560.jpg,0
data\dataset_2_split\train\images\2100-b1-14-d01_5700_6840.jpg,0
data\dataset_2_split\train\images\2110-b1-14-d01_12540_13680.jpg,0
data\dataset_2_split\train\images\2110-b1-14-d01_13680_14820.jpg,
data\dataset_2_split\train\images\2110-b1-14-d01_14820_15960.jpg,
data\dataset_2_split\train\images\2110-b1-14-d01_17100_18240.jpg,0
data\dataset_2_split\train\images\2110-b1-14-d01_20520_21660.jpg,0
data\dataset_2_split\train\images\2110-b1-14-d01_2280_3420.jpg,"0,6"
data\dataset_2_split\train\images\2110-b1-14-d01_27360_28500.jpg,7
data\dataset_2_split\train\images\2110-b1-14-d01_3420_4560.jpg,7
data\dataset_2_split\train\images\2110-b1-14-d01_6840_7980.jpg,
data\dataset_2_split\train\images\2110-b1-14-d01_9120_10260.jpg,6
data\dataset_2_split\train\images\2120-b1-14-d01_0_1140.jpg,
data\dataset_2_split\train\images\2120-b1-14-d01_12540_13680.jpg,
data\dataset_2_split\train\images\2120-b1-14-d01_13680_14820.jpg,
data\dataset_2_split\train\images\2120-b1-14-d01_14820_15960.jpg,
data\dataset_2_split\train\images\2120-b1-14-d01_15960_17100.jpg,
data\dataset_2_split\train\images\2120-b1-14-d01_17100_18240.jpg,
data\dataset_2_split\train\images\2120-b1-14-d01_18240_19380.jpg,6
data\dataset_2_split\train\images\2120-b1-14-d01_2280_3420.jpg,
data\dataset_2_split\train\images\2120-b1-14-d01_26220_27360.jpg,6
data\dataset_2_split\train\images\2120-b1-14-d01_27360_28500.jpg,7
data\dataset_2_split\train\images\2120-b1-14-d01_3420_4560.jpg,7
data\dataset_2_split\train\images\2120-b1-14-d01_4560_5700.jpg,
data\dataset_2_split\train\images\2120-b1-14-d01_9120_10260.jpg,0
data\dataset_2_split\train\images\2130-b1-14-d01_0_1140.jpg,
data\dataset_2_split\train\images\2130-b1-14-d01_10260_11400.jpg,7
data\dataset_2_split\train\images\2130-b1-14-d01_11400_12540.jpg,
data\dataset_2_split\train\images\2130-b1-14-d01_1140_2280.jpg,6
data\dataset_2_split\train\images\2130-b1-14-d01_13680_14820.jpg,2
data\dataset_2_split\train\images\2130-b1-14-d01_18240_19380.jpg,0
data\dataset_2_split\train\images\2130-b1-14-d01_19380_20520.jpg,7
data\dataset_2_split\train\images\2130-b1-14-d01_27360_28500.jpg,"1,7"
data\dataset_2_split\train\images\2130-b1-14-d01_29640_30780.jpg,
data\dataset_2_split\train\images\2130-b1-14-d01_30780_31920.jpg,
data\dataset_2_split\train\images\2130-b1-14-d01_3420_4560.jpg,7
data\dataset_2_split\train\images\2140-b1-14-d01_0_1140.jpg,1
data\dataset_2_split\train\images\2140-b1-14-d01_11400_12540.jpg,0
data\dataset_2_split\train\images\2140-b1-14-d01_1140_2280.jpg,"1,6"
data\dataset_2_split\train\images\2140-b1-14-d01_12540_13680.jpg,
data\dataset_2_split\train\images\2140-b1-14-d01_13680_14820.jpg,
data\dataset_2_split\train\images\2140-b1-14-d01_29640_30780.jpg,1
data\dataset_2_split\train\images\2140-b1-14-d01_6840_7980.jpg,
data\dataset_2_split\train\images\2140-b1-14-d01_7980_9120.jpg,
data\dataset_2_split\train\images\2140-b1-14-d01_9120_10260.jpg,6
data\dataset_2_split\train\images\2150-b1-14-d01_13680_14820.jpg,0
data\dataset_2_split\train\images\2150-b1-14-d01_14820_15960.jpg,0
data\dataset_2_split\train\images\2150-b1-14-d01_19380_20520.jpg,1
data\dataset_2_split\train\images\2150-b1-14-d01_25080_26220.jpg,
data\dataset_2_split\train\images\2150-b1-14-d01_26220_27360.jpg,6
data\dataset_2_split\train\images\2150-b1-14-d01_28500_29640.jpg,
data\dataset_2_split\train\images\2150-b1-14-d01_29640_30780.jpg,
data\dataset_2_split\train\images\2150-b1-14-d01_30780_31920.jpg,
data\dataset_2_split\train\images\2150-b1-14-d01_3420_4560.jpg,7
data\dataset_2_split\train\images\2160-b1-14-h01_10260_11400.jpg,7
data\dataset_2_split\train\images\2160-b1-14-h01_13680_14820.jpg,
data\dataset_2_split\train\images\2160-b1-14-h01_15960_17100.jpg,1
data\dataset_2_split\train\images\2160-b1-14-h01_18240_19380.jpg,"0,6"
data\dataset_2_split\train\images\RRT-101R_Img1_A80_S2_[32][4].png,12
data\dataset_2_split\train\images\RRT-101R_Img1_A80_S4_[19][2].png,12
data\dataset_2_split\train\images\RRT-101R_Img1_A80_S4_[23][2].png,12
data\dataset_2_split\train\images\RRT-101R_Img1_A80_S4_[26][4].png,12
data\dataset_2_split\train\images\RRT-101R_Img1_A80_S4_[32][8].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S1_[13][10].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S1_[15][11].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S1_[19][8].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S1_[20][4].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S1_[22][5].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S1_[23][9].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S1_[24][6].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S1_[9][11].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S2_[17][9].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S2_[32][3].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S3_[11][12].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S3_[12][15].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S3_[14][12].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S3_[14][14].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S3_[20][1].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S3_[25][17].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S3_[28][1].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S4_[14][2].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S4_[19][8].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S4_[21][7].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S4_[24][1].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S4_[25][3].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S4_[28][5].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S4_[31][7].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S4_[32][5].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S4_[33][2].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S6_[17][11].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S6_[23][10].png,12
data\dataset_2_split\train\images\RRT-101R_Img2_A80_S6_[25][12].png,12
data\dataset_2_split\train\images\RRT-101R_Img3_A80_S1_[20][8].png,12
data\dataset_2_split\train\images\RRT-101R_Img3_A80_S1_[22][5].png,12
data\dataset_2_split\train\images\RRT-101R_Img3_A80_S2_[32][7].png,12
data\dataset_2_split\train\images\RRT-101R_Img3_A80_S3_[12][14].png,12
data\dataset_2_split\train\images\RRT-101R_Img3_A80_S3_[6][1].png,12
data\dataset_2_split\train\images\RRT-101R_Img3_A80_S3_[6][4].png,12
data\dataset_2_split\train\images\RRT-101R_Img3_A80_S4_[15][7].png,12
data\dataset_2_split\train\images\RRT-101R_Img3_A80_S4_[20][1].png,12
data\dataset_2_split\train\images\RRT-101R_Img3_A80_S4_[30][8].png,12
data\dataset_2_split\train\images\RRT-101R_Img3_A80_S4_[31][9].png,12
data\dataset_2_split\train\images\RRT-101R_Img3_A80_S4_[33][5].png,12
data\dataset_2_split\train\images\RRT-101R_Img3_A80_S4_[33][9].png,12
data\dataset_2_split\train\images\RRT-101R_Img4_A80_S1_[12][10].png,12
data\dataset_2_split\train\images\RRT-101R_Img4_A80_S1_[22][4].png,12
data\dataset_2_split\train\images\RRT-101R_Img4_A80_S4_[17][4].png,12
data\dataset_2_split\train\images\RRT-101R_Img4_A80_S4_[18][3].png,12
data\dataset_2_split\train\images\RRT-101R_Img4_A80_S4_[24][2].png,12
data\dataset_2_split\train\images\RRT-101R_Img4_A80_S4_[29][7].png,12
data\dataset_2_split\train\images\RRT-101R_Img4_A80_S4_[32][3].png,12
data\dataset_2_split\train\images\RRT-102R_Img1_A80_S4_[26][11].png,12
data\dataset_2_split\train\images\RRT-102R_Img1_A80_S4_[28][12].png,12
data\dataset_2_split\train\images\RRT-102R_Img1_A80_S4_[29][9].png,12
data\dataset_2_split\train\images\RRT-102R_Img1_A80_S4_[6][7].png,12
data\dataset_2_split\train\images\RRT-102R_Img1_A80_S8_[21][7].png,12
data\dataset_2_split\train\images\RRT-102R_Img1_A80_S8_[22][6].png,12
data\dataset_2_split\train\images\RRT-102R_Img1_A80_S8_[26][4].png,12
data\dataset_2_split\train\images\RRT-102R_Img1_A80_S8_[7][4].png,12
data\dataset_2_split\train\images\RRT-102R_Img1_A80_S8_[9][8].png,12
data\dataset_2_split\train\images\RRT-102R_Img2_A80_S4_[11][9].png,12
data\dataset_2_split\train\images\RRT-102R_Img2_A80_S4_[14][9].png,12
data\dataset_2_split\train\images\RRT-102R_Img2_A80_S4_[22][8].png,12
data\dataset_2_split\train\images\RRT-102R_Img2_A80_S4_[26][12].png,12
data\dataset_2_split\train\images\RRT-102R_Img2_A80_S4_[33][11].png,12
data\dataset_2_split\train\images\RRT-102R_Img2_A80_S4_[9][9].png,12
data\dataset_2_split\train\images\RRT-102R_Img2_A80_S5_[17][7].png,12
data\dataset_2_split\train\images\RRT-102R_Img2_A80_S8_[22][7].png,12
data\dataset_2_split\train\images\RRT-102R_Img2_A80_S8_[25][10].png,12
data\dataset_2_split\train\images\RRT-102R_Img2_A80_S8_[5][4].png,12
data\dataset_2_split\train\images\RRT-102R_Img2_A80_S8_[8][3].png,12
data\dataset_2_split\train\images\RRT-102R_Img3_A80_S4_[10][4].png,12
data\dataset_2_split\train\images\RRT-102R_Img3_A80_S4_[12][8].png,12
data\dataset_2_split\train\images\RRT-102R_Img3_A80_S4_[22][11].png,12
data\dataset_2_split\train\images\RRT-102R_Img3_A80_S4_[25][9].png,12
data\dataset_2_split\train\images\RRT-102R_Img3_A80_S4_[26][9].png,12
data\dataset_2_split\train\images\RRT-102R_Img3_A80_S4_[28][13].png,12
data\dataset_2_split\train\images\RRT-102R_Img3_A80_S5_[15][4].png,12
data\dataset_2_split\train\images\RRT-102R_Img3_A80_S8_[16][5].png,12
data\dataset_2_split\train\images\RRT-102R_Img3_A80_S8_[24][10].png,12
data\dataset_2_split\train\images\RRT-102R_Img3_A80_S8_[9][6].png,12
data\dataset_2_split\train\images\RRT-102R_Img4_A80_S4_[10][11].png,12
data\dataset_2_split\train\images\RRT-102R_Img4_A80_S4_[10][9].png,12
data\dataset_2_split\train\images\RRT-102R_Img4_A80_S4_[11][10].png,12
data\dataset_2_split\train\images\RRT-102R_Img4_A80_S4_[11][7].png,12
data\dataset_2_split\train\images\RRT-102R_Img4_A80_S4_[9][11].png,12
data\dataset_2_split\train\images\RRT-102R_Img4_A80_S5_[16][4].png,12
data\dataset_2_split\train\images\RRT-102R_Img4_A80_S5_[19][24].png,12
data\dataset_2_split\train\images\RRT-102R_Img4_A80_S8_[23][10].png,12
data\dataset_2_split\train\images\RRT-102R_Img4_A80_S8_[26][9].png,12
data\dataset_2_split\train\images\RRT-102R_Img4_A80_S8_[27][3].png,12
data\dataset_2_split\train\images\RRT-102R_Img4_A80_S8_[27][8].png,12
data\dataset_2_split\train\images\RRT-105R_Img1_A80_S1_[10][34].png,12
data\dataset_2_split\train\images\RRT-105R_Img1_A80_S1_[4][15].png,12
data\dataset_2_split\train\images\RRT-105R_Img1_A80_S1_[9][23].png,12
data\dataset_2_split\train\images\RRT-105R_Img1_A80_S1_[9][24].png,12
data\dataset_2_split\train\images\RRT-105R_Img2_A80_S1_[14][38].png,12
data\dataset_2_split\train\images\RRT-105R_Img2_A80_S1_[15][41].png,12
data\dataset_2_split\train\images\RRT-105R_Img2_A80_S1_[4][16].png,12
data\dataset_2_split\train\images\RRT-105R_Img2_A80_S1_[8][21].png,12
data\dataset_2_split\train\images\RRT-105R_Img2_A80_S1_[8][31].png,12
data\dataset_2_split\train\images\RRT-105R_Img3_A80_S1_[10][22].png,12
data\dataset_2_split\train\images\RRT-105R_Img3_A80_S1_[11][41].png,12
data\dataset_2_split\train\images\RRT-105R_Img3_A80_S1_[12][38].png,12
data\dataset_2_split\train\images\RRT-105R_Img3_A80_S1_[14][39].png,12
data\dataset_2_split\train\images\RRT-105R_Img3_A80_S1_[16][44].png,12
data\dataset_2_split\train\images\RRT-105R_Img3_A80_S1_[5][19].png,12
data\dataset_2_split\train\images\RRT-105R_Img3_A80_S1_[6][8].png,12
data\dataset_2_split\train\images\RRT-105R_Img3_A80_S1_[7][7].png,12
data\dataset_2_split\train\images\RRT-105R_Img3_A80_S1_[8][24].png,12
data\dataset_2_split\train\images\RRT-105R_Img3_A80_S1_[9][27].png,12
data\dataset_2_split\train\images\RRT-105R_Img4_A80_S1_[17][45].png,12
data\dataset_2_split\train\images\RRT-105R_Img4_A80_S1_[3][8].png,12
data\dataset_2_split\train\images\RRT-105R_Img4_A80_S1_[6][17].png,12
data\dataset_2_split\train\images\RRT-105R_Img4_A80_S1_[6][35].png,12
data\dataset_2_split\train\images\RRT-105R_Img4_A80_S1_[7][14].png,12
data\dataset_2_split\train\images\RRT-105R_Img4_A80_S1_[7][29].png,12
data\dataset_2_split\train\images\RRT-105R_Img4_A80_S1_[8][29].png,12
data\dataset_2_split\train\images\RRT-105R_Img4_A80_S1_[8][38].png,12
data\dataset_2_split\train\images\RRT-105R_Img4_A80_S1_[9][27].png,12
data\dataset_2_split\train\images\RRT-107R_Img2_A80_S6_[8][26].png,4
data\dataset_2_split\train\images\RRT-107R_Img4_A80_S2_[32][13].png,4
data\dataset_2_split\train\images\RRT-107R_Img4_A80_S2_[33][15].png,4
data\dataset_2_split\train\images\RRT-107R_Img4_A80_S5_[7][109].png,4
data\dataset_2_split\train\images\RRT-107R_Img4_A80_S5_[7][112].png,4
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S1_[5][6].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S1_[7][8].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S1_[8][11].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S2_[3][21].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S2_[5][12].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S2_[5][17].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S2_[5][23].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S2_[7][40].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S2_[7][9].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S3_[10][11].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S3_[10][83].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S3_[12][10].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S3_[12][53].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S3_[12][72].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S3_[12][74].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S3_[12][7].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S3_[13][72].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S3_[7][30].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S3_[7][41].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S3_[9][10].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S3_[9][3].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S3_[9][72].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[10][65].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[11][68].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[12][26].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[12][77].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[12][83].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[13][36].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[13][5].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[13][62].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[13][65].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[13][93].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[14][79].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[15][1].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[15][20].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[15][75].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[16][12].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[16][14].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[16][55].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[16][67].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[16][80].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[17][10].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[17][16].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[17][66].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[18][55].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S4_[19][62].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[11][3].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[12][34].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[12][56].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[12][9].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[13][11].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[14][13].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[14][19].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[14][63].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[14][7].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[15][41].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[15][47].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[16][1].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[16][35].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[16][37].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[16][41].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[17][24].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[17][27].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[17][2].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[17][33].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[17][43].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[17][59].png,12
data\dataset_2_split\train\images\RRT-13R_Img1_A80_S5_[18][19].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S1_[1][22].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S1_[8][16].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S2_[1][10].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S3_[10][64].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S3_[11][47].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S4_[12][63].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S4_[12][82].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S4_[14][45].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S4_[15][57].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S4_[15][62].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S4_[16][73].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S5_[12][17].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S5_[12][65].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S5_[13][14].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S5_[13][17].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S5_[13][22].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S5_[13][52].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S5_[14][20].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S5_[15][13].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S5_[15][22].png,12
data\dataset_2_split\train\images\RRT-13R_Img2_A80_S5_[17][46].png,12
data\dataset_2_split\train\images\RRT-13R_Img3_A80_S1_[10][18].png,12
data\dataset_2_split\train\images\RRT-13R_Img3_A80_S1_[4][18].png,12
data\dataset_2_split\train\images\RRT-13R_Img3_A80_S2_[4][13].png,12
data\dataset_2_split\train\images\RRT-13R_Img3_A80_S2_[4][17].png,12
data\dataset_2_split\train\images\RRT-13R_Img3_A80_S2_[4][18].png,12
data\dataset_2_split\train\images\RRT-13R_Img3_A80_S2_[4][39].png,12
data\dataset_2_split\train\images\RRT-13R_Img3_A80_S2_[5][23].png,12
data\dataset_2_split\train\images\RRT-13R_Img3_A80_S2_[6][25].png,12
data\dataset_2_split\train\images\RRT-13R_Img3_A80_S2_[6][31].png,12
data\dataset_2_split\train\images\RRT-13R_Img3_A80_S2_[6][41].png,12
data\dataset_2_split\train\images\RRT-13R_Img3_A80_S2_[7][14].png,12
data\dataset_2_split\train\images\RRT-13R_Img3_A80_S2_[7][23].png,12
